SrNo,Name Of the Program,Type of Course,Code,Need,Description of the need
26,BA (Psychology),Abnormal Psychology,UGPSYS02,"Local, Regional, National and Global",Students learn What is Abnormal Behaviour? The social and cultural impact of psychological disorders;
27,BA (Psychology),Abnormal Psychology,UGPSY602,"Local, Regional, National and Global",Schizophrenia Spectrum and other Psychotic Disorders.
28,BA (Psychology),Industrial-Organizational Psychology,UGPSY503,"Local, Regional, National and Global","Assessment Methods for Selection and Placement, and Selecting Employees"
29,BA (Psychology),Industrial-Organizational Psychology,UGPSY603,"Local, Regional, National and Global",Theories of Employee Motivatio
30,BA (Psychology),Cognitive Psychology,UGPSY504,"Local, Regional, National and Global",Working Memory and  Retrieving Memory
31,BA (Psychology),Cognitive Psychology,UGPSY604,"Local, Regional, National and Global",Thinking and Prosblem Solving
32,BA (Psychology),Psychological Practicals - Testing,UGPSYS0S,"Local, Regional, National and Global",Personality Testing
33,BA (Psychology),"Psychological Practicals
-  Experiments",UGPSY605,"Local, Regional, National and Global",Stroop Effect
34,BA (Psychology),Counseling,UGPSYS06,"Local, Regional, National and Global",Theories of Counseling
35,BA (Psychology),Counseling,UGPSY606,"Local, Regional, National and Global","Marriage, couple and family counselling"
36,BVoc(Food technology),Introduction to Food ,UGFTG01,National ,Shelf life determination of food
37,BVoc(Food technology),Food Microbiology,UGFTG02,Local,"Promoting food safety, preserving culinary traditions, and supporting the growth and sustainability of the local food industry."
38,BVoc(Food technology),Food Chemistry,UGFTG03,Local,"Promoting food safety, preserving culinary traditions, and supporting the growth and sustainability of the local food industry."
39,BVoc(Food technology),Communication Skills in English,UGFTS01,"Local, Regional, National and Global","It focuses on language proficiency, cultural sensitivity, and global communication prepares individuals to meet local, regional, national, and global communication needs."
40,BVoc(Food technology),Food Microbiology,UGFTS02,Local,"Promoting food safety, preserving culinary traditions, and supporting the growth and sustainability of the local food industry."
41,BVoc(Food technology),Food Chemistry,UGFTS03,Local,"Promoting food safety, preserving culinary traditions, and supporting the growth and sustainability of the local food industry."
42,BVoc(Food technology),Principle of Food Preservation,UGFTG04,Local,"Promoting food safety, preserving culinary traditions, and supporting the growth and sustainability of the local food industry."
43,BVoc(Food technology),Food Analysis,UGFTG0S,"Local, Regional, National and Global",It helps to maintain food safety and quality.
44,BVoc(Food technology),Processing of Fruits and Vegetables,UGFTG06,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential exports."
45,BVoc(Food technology),Principle of Food Preservation,UGFTS04,Local,"Promoting food safety, preserving culinary traditions, and
supporting the growth and sustainability of the local food industry."
46,BVoc(Food technology),Food Analysis,UGFTS0S,"Local, Regional, National and Global",It helps to maintain food safety and quality.
47,BVoc(Food technology),Processing of Fruits and Vegetables,UGFTS06,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
48,BVoc(Food technology),"Technology ofsh, meat and egg",UGFT 301,Regional and National,"Training in food technology creates opportunities for
entrepreneurs to enter the market with value-added food oroducts."
49,BVoc(Food technology),Technology of spices and plantation crops,UGFT 302,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
oroducts."
50,BVoc(Food technology),Technology of Fermented Food,UGFT 303,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
products."
51,BVoc(Food technology),Food Microbiology,UGFT 304,Local,"Promoting food safety, preserving culinary traditions, and
supporting the growth and sustainability of the local food industry."
52,BVoc(Food technology),Food additives,UGFT 305,Local,"Promoting food safety, preserving culinary traditions, and
supporting the growth and sustainability of the local food industry."
53,BVoc(Food technology),Bussiness management,UGFT 306,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
products."
54,BVoc(Food technology),"Technology of cereals, pulses, and legumes",UGFT 401,Regional and National,"Training in food technology creates opportunities for
entrepreneurs to enter the market with value-added food products."
55,BVoc(Food technology),Technology of beverages,UGFT402,Regional and National,"Training in food technology creates opportunities for
entrepreneurs to enter the market with value-added food oroducts."
56,BVoc(Food technology),Food product development,UGFT 403,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
57,BVoc(Food technology),Food plant desinging,UGFT404,"Local, Regional, National and Global","Education in food plant design ensures adherence to food safety standards, promoting the production of high-quality and safe food products."
58,BVoc(Food technology),By product utilization and waste management,UGFT 405,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
59,BVoc(Food technology),Marketing Management,UGFT406,Regional and National,Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food products.
60,BVoc(Food technology),"Technology ofsh, meat and egg",UGFTP 301,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
!Products."
61,BVoc(Food technology),Technology of spices and plantation crops,UGFTP 302,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
!Products."
62,BVoc(Food technology),Technology of Fermented Food,UGFTP 303,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
!products."
63,BVoc(Food technology),Food Microbiology,UGFTP 304,Local,"Promoting food safety, preserving culinary traditions, and supporting the growth and sustainability of the local food
industry."
64,BVoc(Food technology),Food additives,UGFTP 305,Local,"Promoting food safety, preserving culinary traditions, and
supporting the growth and sustainability of the local food industry."
65,BVoc(Food technology),"Technology of cereals, pulses, and legumes",UGFTP401,Regional and National,"Training in food technology creates opportunities for entrepreneurs to enter the market with value-added food
products."
66,BVoc(Food technology),Technology of beverages,UGFTP402,Regional and National,"Training in food technology creates opportunities for
entrepreneurs to enter the market with value-added food oroducts."
67,BVoc(Food technology),Food product development,UGFTP 403,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
68,BVoc(Food technology),Food plant desinging,UGFTP 404,"Local, Regional, National and Global","Education in food plant design ensures adherence to food safety standards, promoting the production of high-quality and safe food products."
69,BVoc(Food technology),By product utilization and waste management,UGFTP 405,"Local, Regional, National and Global","Analyzing food waste and sustainability metrics supports local initiatives in reducing wastage, promoting sustainable practices in food production and distribution."
70,BVoc(Food technology),Processing of fruit and vegetables,UGFT 501,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
71,BVoc(Food technology),Food Processing and Equipment,UGFT 504,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
72,BVoc(Food technology),Food Biotechnology and Nutraceuticals,UGFT SOS,"Local, Regional, National and Global","Supports the development of innovative solutions, enhances local food production and health outcomes, and promotes sustainable practices within the community."
73,BVoc(Food technology),Unit Operations in Food Industry,UGFT 601,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exports."
74,BVoc(Food technology),Food Quality Assurance,UGFT 602,"Local, Regional, National and Global",It helps to maintain food safety and quality.
75,BVoc(Food technology),Processing of fruit and vegetables,UGFTP 501,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic
processed foods for both local consumption and potential exports."
76,BVoc(Food technology),Physical properties of food,UGFTP 502,"Local, Regional, National and Global","Enhance the quality, safety, and efficiency of  produced foods"
77,BVoc(Food technology),Sensory Evaluation of Food,UGFTP 503,"Local, Regional, National and Global","Enhance the quality, safety, and efficiency of  produced foods"
78,BVoc(Food technology),Food Processing and Equipment,UGFTP 504,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic processed foods for both local consumption and potential
exoorts."
79,BVoc(Food technology),Food Biotechnology and Nutraceuticals,UGFTP 505,Regional and National,"Training in food biotechnology and nutraceuticals creates
opportunities for entrepreneurs to enter the market with value-added food oroducts."
80,BVoc(Food technology),Unit Operations in Food Industry,UGFTP 601,Regional and National,"Training in processing includes education on food safety standards, ensuring the production of safe and hygienic
processed foods for both local consumption and potential exports."
81,BVoc(Food technology),Food Quality Assurance,UGFTP 602,"Local, Regional, National and Global",It helps to maintain food safety and quality.
82,BBA(Capital Market),Marketing &sales of Financial Products,UGBBACC101,Local and Regional,"Training in marketing financial products contributes to educating consumers about various financial options, promoting financial literacy at a national level."
83,BBA(Capital Market),Financial Accounting,UGBBACC102,National,"Accurate financial reporting attracts investors, both domestic and international, fostering economic growth and development"
84,BBA(Capital Market),Business Law,UGBBACC103,National,A Business Law syllabus addresses local and regional needs by providing essential legal knowledge and understanding of regulations that impact businesses in specific geographic areas.
85,BBA(Capital Market),Introduction to Financial Market,UGBBACC104 ,National,"Preparing students for active participation in financial markets, fostering economic growth, and promoting financial stability within the nation."
86,BBA(Capital Market),Business Communication-I,UGBBAAECC105 ,National and Global,It helps effective business operations and networking
87,BBA(Capital Market),Banking Operation & Product- I,UGBBAAECC106,local and Regional,"Training in banking operations focuses on client relations, ensuring quality customer service tailored to local customer needs."
88,BBA(Capital Market),Mutual Funds,UGBBACC201,National,"Education in mutual funds widens investment options, providing accessible investment avenues for local investors, including those with limited financial expertise."
89,BBA(Capital Market),Corporate Finance,UGBBACC202,National,"Knowledge in financial markets supports maintaining market integrity, reducing fraud, and ensuring the smooth functioning of financial systems."
90,BBA(Capital Market),Ethical and Professional Standards,UGBBACC203 ,National ,Develop corporate governance and integrity amoung students.
91,BBA(Capital Market),Principles of management,UGBBACC204,National,Develop financial management skill.
92,BBA(Capital Market),Business Environment,UGBBAAECC206,National,It helps in Strategic Planning and develop effective business strategies.
93,"BBA(Capital
Market)",Business Communication-II,UGBBAAECC207,National,It helps effective business operations and networking
94,BSc (Medical Laboratory),Fundamentals of Physiology,UGMLT101,National,Understanding Human Body Functions
95,BSc (Medical Laboratory),Foundation course,UGMLT102,National,"Physiology forms the basis for medical research, contributing to innovations in treatment methods, pharmaceuticals, and medical technolo ies."
96,BSc (Medical Laboratory),Basic English,UGMLTAEC 103,Local and Regional,Develop Communication skill
97,BSc (Medical Laboratory),Chemistry,UGMLT104,National,"Understanding of matter, substances, and their interactions, chemistry fulfills national needs by contributing to industrial growth and healthcare advancements"
98,BSc (Medical Laboratory),Introduction to MLT,UGMLT201,National,"MLT forms a fundamental part of medical education, contributing to the development of well-rounded healthcare professionals."
99,BSc (Medical Laboratory),Phlebotomy,UGMLT202,National,"Phlebotomists  play a crucial role in patient care by collecting blood samples safely and efficiently, contributing to the overall healthcare delivery system."
100,BSc (Medical Laboratory),Functional English,UGMLTAEC203,Local and Regional,Develop Communication skill
101,BSc (Medical Laboratory),Zoology,UGMLT204,Local and Regional,It helps Biodiversity Conservation and Ecosystem Management
102,BA(English),Communication Skills in English - I,UGECS101,"Local, Regional, National and Global","It focuses on language proficiency, cultural sensitivity, and global communication prepares individuals to meet local, regional, national, and global communication needs."
103,BA(English),Communication Skills in English - II,UGECS102,"Local, Regional, National and Global","It focuses on language proficiency, cultural sensitivity, and global communication prepares individuals to meet local, regional, national, and global communication needs."
104,BA(English),Literature and Cinema - I,UGENG101,Global,"Both literature and cinema act as windows into different cultures, traditions, and perspectives, fostering mutual understanding among diverse global communities."
105,BA(English),Literature and Cinema - II,UGENG201,Global,"Both literature and cinema act as windows into different cultures, traditions, and perspectives, fostering mutual understanding among diverse global communities."
106,BA(English),Indian Literature in English,UGENG301,National,"It provides a platform for understanding, appreciating, and preserving the rich cultural diversity present within India"
107,BA(English),American Literature in English,UGENG302,Global,"American literature has a profound global impact, spreading American culture, beliefs, and ideals throughout the world and making a considerable contribution to both the canon of literature globally and  intercultural understanding."
108,BA(English),Mass Media and Advertising - I,UGENG401,Regional and National,"Develop critical thinking skills, cultural sensitivity, and a deeper understanding of the  role of media and advertising in shaping national and re£ional identities."
109,BA(English),Mass Media and Advertising - II,UGENG402,Regional and National,"Develop critical thinking skills, cultural sensitivity, and a deeper understanding of the  role of media and advertising in shaping national and re£ional identities."
110,BA(English),16th to 18th Century Literature - I,UGENGS01,Global,"Nurturing critical thinking, cultural understanding, and
empathy towards diverse perspectives, preparing students to engage effectively in a e:lobalized world."
111,BA(English),Literary Theory and Practical Criticism - I,UGENGS02,National,It focus on national and local literary contexts helps in nurturing a comprehensive understanding of the  nation's literary heritage
112,BA(English),Grammar and the Art of Writing- I,UGENGS03,National,"Improving language proficiency, effective communication, and a sense of cultural identity"
113,BA(English),19th Century Literature - I,UGENGS04,National and Global,"Nurturing critical thinking, cultural understanding, and empathy towards diverse perspectives, preparing students to engage effectively in a globalized world."
114,BA(English),20th Century British Literature - I,UGENGSOS,National and Global,"Nurturing critical thinking, cultural understanding, and
empathy towards diverse perspectives, preparing students to engage effectively in a globalized world."
115,BA(English),Drama and Theatre - I,UGENGS06,"Local, Regional, National and Global","Educators can create a comprehensive learning environment that not only nurtures artistic expression but also addresses the multifaceted needs of the  regional, national, and global
communities."
116,BA(English),16th to 18th Century Literature - II,UGENG601,Global,"Nurturing critical thinking, cultural understanding, and empathy towards diverse perspectives, preparing students to engage effectively in a globalized world."
117,BA(English),Literary Theory and Practical Criticism - II,UGENG602,National and Global,It focus on national and local literary contexts helps in nurturing a comprehensive understanding of the nation's literary heritage
118,BA(English),"Grammar and the Art of
Writing- II",UGENG603,National,"Improving language proficiency, effective communication, and a sense of cultural identity"
119,BA(English),19th Century Literature - II,UGENG604,National and Global,"Nurturing critical thinking, cultural understanding, and
empathy towards diverse perspectives, preparing students to engage effectively in a globalized world."
120,BA(English),20th Century British Literature - II,UGENG605,Global,"Nurturing critical thinking, cultural understanding, and empathy towards diverse perspectives, preparing students to
engage effectively in a i?lobalized world."
121,BA(English),Drama and Theatre - II,UGENG606,"Regional, National and Global","Educators can create a comprehensive learning environment that not only nurtures artistic expression but also addresses the multifaceted needs of the regional, national, and global
communities."
122,BA(Economics),Micro Economics,UGECO101,Local and Re onal,Understand the demand analysis and production analysis
123,BA(Economics),Microeconomics,UGECO201,National,"Understand the perfect competition, monopoly, monopolistic competition and oligopoly."
124,BA(Economics),Macro Economics,UGECO301,National and Global,"Understanding macroeconomic principles aids in formulating fiscal and monetary policies, crucial for managing inflation, unemployment, and economic growth at a national level."
125,BA(Economics),Macro Economics,UGECO401,National and Global,"Understanding macroeconomic principles aids in formulating fiscal and monetary policies, crucial for managing inflation, unemployment, and economic growth at a national level."
126,BA(Economics),Industrial Economics,UGECO302,National,"Understand the National Industrial Policies, Market
Structures and Competition"
127,BA(Economics),Industrial Economics,UGECO402,National,"Understand the National Industrial Policies, Market Structures and Comoetition."
128,BA(Economics),Population Studies,UGECO303,National,"Analyze economic development, labor force planning and Sources of demoirraohic data in India."
129,BA(Economics),Population Studies,UGECO403,National,"Students will learn Fertility, Nuptiality, Mortality Migration and Urbanization."
130,BA(Economics),Advance Economic Theory,UGECOS0l,Regional and National,Advance economic theory provides general equilibrium and social welfare.
131,BA(Economics),"Advance Economic
THeory",UGECO601,"National and
Global",Analyzing Global Markets.
132,BA(Economics),"Economics of
Develooment",UGECO502,"National and
Global",Understnad the issues in development.
133,BA(Economics),"Economics of
Development",UGECO602,"National and·
Global",Understnad the International aspects of development
134,BA(Economics),Indian Financial System,UGECO503,National,"Indian Financial System contributes significantly to fulfilling national needs by offering insights into the structure, functioning, and regulation of the  financial sector in India."
135,BA(Economics),Indian Financial System,UGECO603,National,"Indian Financial System contributes significantly to fulfilling national needs by offering insights into the structure, functioning, and regulation of the financial sector in India."
136,BA(Economics),Research Methodology I,UGECO504,National,Research Problem and Research Design Data Collection
137,BA(Economics),Research Methodology II,UGECO604,National,"Sampling processing and representation of data
techniaues of data analysis and report writing."
138,BA(Economics),Public Finance,UGECOS0S,Local and Regional,"Understand the public finance, public revenue, public expenditure and public debt fiscal policy and union budget"
139,BA(Economics),International Economics,UGECO605,International,"Understand the International Industrial Policies, Market
Structures and Competition."
140,BA(Economics),Industrial Economics,UGECO506,National,"Understand the National Industrial Policies, Market
Structures and Competition."
141,BA(Economics),Industrial Economics,UGECO606,National,"Understand the  National Industrial Policies, Market
Structures and Competition."
142,BCom,Accountancy & Financial Management-I,UGCOM101,Local,"Addressing the financial requirements oflocal businesses, individuals, and organizations."
143,BCom,Commerce-I,UGCOM102,National,"It greatly aids in meeting the economy's need for human resources, encouraging entrepreneurship, improving financial literacy, and equipping people to engage in the global
marketplace."
144,BCom,Foundation Course-I,UGFC101,"Local, Regional, National and Global","It fills a need in the country by producing well-rounded people with a wide range of skills, social awareness, cultural sensitivity, and a solid basis for higher education or the
workforce."
145,BCom,Accountancy & Financial Management-II,UGCOM201,Local and National,"Guarantees that experts are prepared to satisfy the monetary demands at different economic levels, meeting both local and
national needs in the process."
146,BCom,Commerce-II,UGCOM202,Local and National,Fulfills requirements on a global scale by equipping people to prosper in a global economy and simultaneously fosters economic growth in order to address national requirements.
147,BCom,Foundation Course-II,UGFC201,"Local, Regional, National and Global","Covering a broad range of topics not only prepares a workforce capable of functioning in a linked society, but also helps people become responsible global citizens."
148,BCom,Accountancy & Financial Management-III,UGCOM301,Local and National,Satisfies regional demands byassisting companies and guaranteeing compliance and at the same time cultivates competent financial experts.
149,BCom,Introduction to Management Accounting,UGCOM302,Local and National,"It assists and promotes efficient resource use, helps with good
governance, and equips experts with the knowledge and abilities to analyze financial data."
150,BCom,Commerce- III,UGCOM303,National and Global,"It supports market reach expansion, operational efficiency, and increased competitiveness for regional companies."
151,BCom,Advertising-I,UGCOM304.1,National,"Aids in the development of advertising campaigns that connect with a variety of audiences in many nations and
cultures."
152,BCom,Computer Applications-I,UGCOM304.2,National,Equips individuals with essential technological skills and suooorts efficient business ooerations.
153,BCom,8.Law-1,UGCOM305,"Local, Regional, National and Global","Encourages adherence to the law, assists small enterprises in the community, supports entrepreneurs, and participates In local policymaking."
154,BCom,Foundation Course-III,UGFC301,"Local, Regional, National and Global",Helps to create responsible citizens who are essential to the country's fabric and connected to their local and regional communities.
155,BCom,Accountancy & Financial Management-IV,UGCOM401,"Local, Regional, National and Global",It maintains the soundness of the  country's finances and encourages moral behavior in the context of the  world economy.
156,BCom,Introduction to Auditing,UGCOM402,"Local, Regional, National for Global","Guarantees ethical financial practices, financial integrity, and support for regional governance."
157,BCom,Commerce-IV,UGCOM403,Local and National,"Equips to handle the challenges of international trade while having a positive effect on local communities and boosting
national economies."
158,BCom,Advertising-II,UGCOM404.1,Local and Regional,"Combines cultural sensitivity, brand management techniques,
local market knowledge, global consumer Insights, and efficient media platform use."
159,BCom,Computer Applications-II,UGCOM404.2,"National
---","Offers proficiency in cutting-edge computer applications, assisting with the development of the nation's workforce, and supporting technology infrastructure."
160,BCom,B.Law-11,UGCOM405,Local and National,Aids in the creation of just and law-abiding corporate environments.
161,BCom,Foundation Course-IV,UGFC401,"Local, Regional, National and Global",Meets regional requirements by offering socioeconomic information and satisfies local needs by protecting local cultures.
162,BCom,Financial Accounting,UGCOMS0l,Local and National,"Trained experts support local businesses in growing and
remaining sustainable by helping with financial planning, budgeting, and decision-makine."
163,BCom,Cost Accounting,UGCOMS02,Local,"Fulfills local needs by supporting local businesses with cost control, resource optimization, competitiveness, and local law compliance."
164,BCom,Commerce-V(Marketing),UGCOMS03,Local,"Analyzes several facets of consumer behavior, localized preferences, and local markets."
165,BCom,Marketing Research,UGCOMS04.1,Local,Students will understand the applications of marketing research.
166,BCom,Export Marketing,UGCOMS04.2,Global,Understand the Economic Growth and International Trade.
167,BCom,Direct TaJCes,UGCOMS04.3,"Local, Regional, National nation's Global","Direct TaJCes form a significant portion of a nation's revenue stream, contributing to government funds used for public welfare, infrastructure, and development projects."
168,BCom,Computer System & Application-I,UGCOMS04.4,Local,"Students will understand the E-commerce Security,
Encryption, Ditrital Siimatures and SSL"
169,BCom,Financial Accounting,UGCOM601,National,"Trained experts support local businesses in growing and
remaining sustainable by helping with financial planning, budgeting, and decision-makine."
170,BCom,Cost Accounting,UGCOM602,"Local, Regional, National cost Global","Fulfills local needs by supporting local businesses with cost control, resource optimization, competitiveness, and local law compliance."
171,BCom,Commerce-VI,UGCOM603,"Local, Regional, National and Global",Understand the Domestic and International HR policies.
172,BCom,Marketing Research,UGCOM604.1,Local,Students will understand the applications of marketing research.
173,BCom,Export Marketing,UGCOM604.2,National,Understand the Economic Growth and International Trade.
174,BCom,Direct Taxes,UGCOM604.3,"Local, Regional, National nation's Global","Direct Taxes form a significant portion of a nation's revenue stream, contributing to government funds used for public welfare, infrastructure, and development projects."
175,BCom,"Computer System &
Aoolication-11",UGCOM604.4,"National and
Global","Students will understand the E-commerce Security, Encryption, Dieital Siimatures and SSL."
176,#NAME?,Fundamentals of Microbiology-I,UGMB101.2,National,Students will be able to differentiate and classify different types of microorganism and its characteristics.
177,BSc (Microbiology),Fundamentals of Microbiology II,UGMB102.2,National and Global,"Students will be able understand the knowledge of basic
instrumentation, basic techniques in microbiology and control of microorganism at local to global level"
178,BSc (Microbiology),Practical (FYBSc. Semester-I),UGMBP 101.2,National and Global,"Students will be able Apply the knowledge of basic
instrumentation, basic techniques in microbiology and control of microorganism at local to global level"
179,BSc (Microbiology),Basic Biochemistry and Microbial Ecology,UGMB201.2,National and Global,students will be able to explain and describe types and functions of different biomolecules found in living cells and their role in metabolism.
180,BSc (Microbiology),Applied and Medical Microbiology,UGMB202.2,National and Global,"Students will be able to explain substrates and media used for
industrial fermentation processes and apply it in different industries present locallv to global level."
181,BSc (Microbiology),Practical (FYBSc. Semester-II),UGMBP201.2,National and Global,"Students will be able to design an experiment to isolate and
cultivate microorganisms from different sources from local to global level."
182,BSc (Microbiology),Biochemistry & Genetics,UGMB301.2,National,Students will undertand basics of Genetics and gain knowledge of different biomolecules present in living organisms
183,BSc (Microbiology),Introduction to Medical Microbiology & Immunology,UGMB302.2,National and Global,"Students will understand different epidemiological aspects, their importance and Immune response generated to counter pathogens. Additonally students will apply the knowledge of
Public Health Measures to the control of disease from local to global level."
184,BSc (Microbiology),Environmental Microbiology,UGMB303.2,Local and Regional,"Students will be able to understand different micro- oragnisms that resides in different types of soil, various water sources and in air."
185,"BSc
(Microbiology)","Analysis of Air,Water &
Soil",UGMBSEC301A,National and Global,Students will be able to analyse these three elements for 1potential pathogens from local to global level.
186,BSc (Microbiology),Biofertilizer & Biopesticide,UGMBSEC 3018,National and Global,Students will be undertand the benefits of using biofertilizer and biopesticides in comparision to harmful chemcial alternatives and they will produce biological derived material for economically viable alternative from local to global level.
187,BSc (Microbiology),Microbiology Practicum,"UGMBP 301.2,
302.2 & 303.2",National and Global,"Students will able to isolate and identify the medically relevant pathogens and classify them on basis of their biochemical footprint It is gold standard method relevant
from local to glocal level."
188,BSc (Microbiology),Biochemistry and Basic Analytical Techniques,UGMB401.2,National,"Students will understand the basis of enzyme kinetics, basic metabolism in all living organisms and have good foundation for analytical techniques utilised in basic research."
189,BSc (Microbiology),"Introduction to
Microbial Taxonomy And Diversity",UGMB402.2,National,"Students will understand diversity of prokaryotes, eukaryotes and basis of nomenclature of organisms present"
190,BSc (Microbiology),Applied Microbiology,UGMB403.2,Local and National,Students will understand about the basis of dairy and food microbiology and how knowledge is applied at industrial level.
191,BSc (Microbiology),"Food,Dairy & Bioprocess Technology",UGMBSEC-401A,"Local, Regional, National and Global",Students will understand pre and probiotics on human health and understand the food packaging at industrial level in great details.
