title,lyrics
Drown  Audiotree Live Version,"And all of my heart is broken
But the salt of my wounds
Will never follow you around
I will never make a sound
And taking every step in fear
If only you could hold me close
This time I think I'm bound to stay alone
And last night was the first time
We inched close to cyanide
Our blood red as beetroot tonight
Can show you the skies, they felt orange
They held me in service
Just whisper my name
I'll never let you go
Baby, can you hold me close please
And tell me all your stories
So I can sleep in peace
Baby, can you whisper my name?
I could never swim in sorrows
But tomorrow always follows
So I tie up my lips for you, babe
Silently, we break our key, see?
Can we open doors?
Shyly find me, wine me kindly
Kiss me as I drown, as I drown
And as I drown, and as I drown
And as I drown, and as I drown
And as I drown, and as I drown
And as I drown, and as I drown
And if only your love could hold me
If your arm switches and fold me
I would tie up my lungs for you baby
As I drown, and as I drown
And as I drown, and as I drown
As I drown, and as I drown
And as I drown, and as I drown
And as I drown"
Drown Live at Island City Studio,"[Verse 1]
And all of my heart is broken but the salt of my wounds
Will never follow you around, I won't ever make a sound
And taking every step in fear, if only you could hold me close
This time I think I'm bound to stay alone
[Verse 2]
And last night was the first time, we inched close to cyanide
Our blood red as beetroots, and I can show you
The skies they felt orange, they held me in solace
Just whisper my name, I'll never let you go
[Verse 3]
Baby, can you hold me close, please
And tell me all your stories, so I can sleep in peace?
Baby, can you whisper my name?
I could never swim in sorrows, but tomorrow always follows
So, I'll tie up my lips for you, babe
[Verse 4]
Silently we break our keys, see
Can we open doors?
Shyly find me, wind me, kindly
Kiss me as I drown
[Refrain]
As I drown, as I drown, as I drown, as I drown
As I drown, as I drown, as I drown, as I drown
[Instrumental]
[Verse 5]
And if only your love could hold me
If your arms would just enfold me
I would tie up my lungs for you, babe
[Refrain]
As I drown, as I drown, as I drown, as I drown
As I drown, as I drown, as I drown, as I drown"
Drown,"[Verse 1]
And all of my heart is broken
But the salt of my wounds
Will never follow you around
I won't ever make a sound
Taking every step in fear
If only you could hold me close
This time, I think I'm bound to stay alone
[Verse 2]
And last night was the first time
We inched close to cyanide
Our blood red as beetroots
And I can show you
The skies, they felt orange
They held me in solace
Just whisper my name
I'll never let you go
[Chorus]
Baby, can you hold me close, please?
Tell me all your stories so I can sleep in peace
Baby, can you whisper my name?
I could never swim in sorrows
But tomorrow always follows
So I'll tie up my lips for you, babe
Silently, we break our keys, see?
Can we open doors?
Shyly find me, wine me kindly
Kiss me as I drown
As I drown, as I drown
As I drown, as I drown
As I drown, as I drown
As I drown, as I drown
[Chorus]
And if only your love could hold me
If your arms would just enfold me
I would tie up my lungs for you, babe
As I drown, as I drown
As I drown, as I drown
As I drown, as I drown
As I drown, as I drown"
Face,"[Verse 1]
Time is just a place that we never wanna disgrace
I just wanna face the world with my shut eyes
I thought this could be the one time that I escape
But nothing really seems to change with the sunrise
[Chorus]
I felt always like a fool, if only I could lose me
Leave me clueless in my shoes so nothing can confuse me
All I needed was a touch of sazeracs that choose me
Leave me naked in my clothes with the folks that always usе me
[Verse 2]
But maybe this is just a game and I nеver knew how to play it
I just wanna face it all with my shut eyes now
Maybe I try my luck and take a peek
All I wanna see is miles of blue skies now
[Chorus]
I stay in just to contain the thoughts that do consume me
I just wanted to stay sane, why do I think I'm vain please
All I needed was the love of sazeracs to snooze me
Leave me naked to my soul and him and me will soon sleep
[Verse 3]
Stripped down to my glass nerves, they crack in a split
So I can see my blood move as it slips right out
I could sing this once, twice, thrice, and again, but maybe
This can only end with my knees and my tongue tied down
[Chorus]
I thought this would be the one time that I escape
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes
I just wanna face the world with my shut eyes"
Favorite Peeps,"[Verse 1]
I slept with my toes between all my sheets
It feels like I never could really keep up
With all of my hands and all of my feet
I need all the warmth I can get from my
Favorite peeps, I keep them around
I have to stay strong, but I wanna give up
[Verse 2]
My fire is strong, but sometimes I leap
Into the pits of imaginary slumps
With my new kicks that I never picked
I need all the heart I can get from my
Favorite loves, I need them with me
I should stay strong, but I wanna give up
[Bridge]
It's just love, lust, then lonely, no time to be alone
Don't know what I have, but I want what I don't
May slip, slit my wrist with a call on my phone
Don't know what I need, what I have, I don't see
They said, ""give time"" (Timе)
(Time) Time
(Time) timе
[Verse 3]
They take me around, they tuck me to sleep
They keep me in check when I wanna break in
To my own self, within my debris
I need all the hugs I can get from my
Favorite bugs, they need me too
I need to stay strong, so I don't let them know
[Outro]
Patience is fatal, but pain is not weak
Patience is fatal, but pain is not weak"
fighter,"And I have been fighting for you
Open wounds and loose smiles, for you
I could have been another friend
Or I could pretend
Could you open your doors?
Can we climb out your windows?
Or would you fall with me love
When you find me within you?
It's red as wine, I'll shine, you'll see
It's open and close
I'm fine, believe me
These cold and empty skies, you'll see
My fingers will hold your hand, believe me
I have been fighting for you
Open wounds and loose smiles, for you
I could have been another friend
Or I could pretend
Could you open your doors
Can we climb out your windows
Or would you fall with me love
When you find me within you
When you find me within you
When you find me within you
When you find me within you
It's red as wine, I'll shine, you'll see
It's open and close, I'm fine, believe me"
Fire,"Oh, would you call me a liar
If I told you my love, had no end
Oh, would you call me a liar
If I told you my love, had no beginning
No one was hiding
What we were trying to find
Was always there
We were just not aware
We were folding our jeans
To step into the salty sea
Let the sand stick to our toes
Until we fall asleep
Oh, would you call me a liar
Oh, would you call me a liar
Oh, would you call me a liar
Oh, would you call me a liar
Oh, can you hold my fire, for me"
Flames,"Cold feet were a trademark with you
And all the old games we played
And all the flames that did fade
Truth be told, all our dreams are sold
And all the foul play we hate
And all the flames that did fade
So true to my game
I did hope it would change
For my pride is you
My only find is you
And all my time is you
Before i try to bleed
Before my soul does sleep
I’m overwhelmed with you
My only find is you
And all my time is you
So true to my game
I did hope it would change
For my pride is you
My only find is you
And all my time is you"
for your time  Audiotree Live Version,"We didn't lie together
With our tired limbs and bones
In exile together
Find a way to come back home
I did pause, I did stay
I did fall, I did care
And so I beg you
So I beg you
So I beg you
So I beg you
For your time
For your time
For your time
For your time
And you hold my silence in your truth
And you hold my silence in your truth
Every waking tower
Every empty broken rule
Could grow old desire
In your full sleeves
And my torn shoes
I was young
I was taken
And in time, forsaken
And so I beg you
So I beg you
So I beg you
So I beg you
To be mine"
for your time,"[Verse 1]
We didn't lie together
With our tired limbs and bones
In exile together
Find a way to come back home
I did pause, I did stay
I did fall, I did care
[Chorus 1]
And so I beg you
So I beg you
So I beg you
So I beg you
For your time
For your time
For your time
For your time
And you hold my silence in your truth
And you hold my silence in your truth
[Verse 2]
Every waking tower
Every empty broken rule
Could grow old desire
In your full sleeves
And my torn shoes
I was young
I was taken
And in time, forsaken"
Full Time Lover,"And now I don't have any time for anything at all
'Cause I'm so busy falling in love with you
No, I don't need no days off
And no happy hour at five o'clock
All I wanna do is fall in love
'Cause falling in love with you
Is my full-time occupation
I'll love you till the end of time
I'll love you even if you leave me behind
It feels that good, falling in love with you
And I'm so lucky that you love me too"
Go,"[Verse 1]
Don't leave me hanging sideways
We are drunk and driving highways
And our bodies are inclined
To escape the morning light you
Bring your hopes up with the sunrise
But our hearts lie someplace else
[Pre-Chorus]
We are hidden behind these window sills
We are hidden behind these sheets that never end
[Chorus]
If you go, I won't even know now
If you leave, I won't even show it now
If you go, I won't even know now
If you leave, I won't even show it now
[Verse 2]
I did try to be your lover
It was beautiful under covers
And our bodies were inclined
We are wasted in our youth and
We are spent and we are clueless
Did we question our souls?
[Pre-Chorus]
We are hidden behind these window sills
We are hidden behind these sheets that never end
[Chorus]
If you go, I won't even know now
If you leave, I won't even show it now
If you go, I won't even know now
If you leave, I won't even show it now
[Outro]
I won't even frown"
Heartbroken,"[Verse 1]
Yeah, I've been heartbroken
I felt it fill my lungs in
My breath is heavy with you
And all my nights are soaked in
[Refrain]
Your touch
It's a crutch
Just this once
Let it burn
[Verse 2]
Sing this, baby, dance with me
This song is all that hides in me
Like a slingshot splits me in two
Strong as dusky whiskey in you
[Refrain]
This love hurts
Let it burst
Just slay me
Just taste me
[Bridge]
I glance with sunlight this limelight
You fortified me with your eyes
Like wine, my hands fly your body tonight
So stay, please, by my side
[Verse 3]
Let this be the last time
Let your hands stay in mine
I won't sleep or let you
Until your lips slide in minе
[Refrain]
My love
Can we burn?
Just this once
Can wе burn?
Just this once
Can we burn?"
Held You Tight,"I hold my breath and
Slow my heart beat when
You console me
Babe you showed me the light
When I’m lonely
When I’m over the edge
Babe you fool me
Babe you showed me the light
I have held you tight
Could not open my eyes
I have held you tight
Could not open my eyes
I pride myself in
Knowing you so well
But you know me
Babe you showed me the light
In my heartache
In my lonesome time
Babe you found me
Babe you showed me the light
I have held you tight
Could not open my eyes
I have held you tight
Could not open my eyes"
Holding On,"It was shown and behold her hair was golden
Her eyes were blue, as the sea was bold
And free
Her eyes were bold and free
We grew with the town, we laughed and we frowned
Our eyes withdrawn, but our hearts were bold
And free
Our hearts were bold and free
We walked with our shadows behind us and close
We danced with our bodies with me
Holding on to you
And you holding on to me
We painted the sky, with blues of a thousand kinds
We were fools, for the moon was ahead all this while
The moon was ahead all the time
So broken and done, our souls and our bones
May be old and sore, but our eyes they shone like the sun
Our eyes they shone like the sun
We walked with our shadows behind us and close
We danced with our bodies with me
Holding on to you
And you holding on to me"
Hollow,"[Intro]
Who did you find? Who did you follow?
I wake up late, I wake up hollow
Who did you find? Who did you follow?
I wake up late, I wake up hollow
[Verse 1]
I closed my eyes, I let the fire burn
I meant to stay, I meant to call her
[Refrain]
We said goodbye, we made it harder
We said we'll fight, we made it harder
[Verse 2]
We opened our eyes and it was cold out
We kept our needs, we kept our ghosts out
I wept the night, I wept my heart out
I felt my skin roll up and roll down
[Refrain]
We said goodbye, we madе it harder
We said we’ll fight, wе made it harder
[Instrumental Break]
[Refrain]
We said goodbye, we made it harder
We said we'll fight, we made it harder
[Outro]
Who did you find? Who did you follow?
I stayed up late, I waited for you
Who did you find? Who did you follow?
I stayed up late, I waited for you"
Hopelessly Live at Soundcheck,"[Verse 1]
Yeah, nothing felt safer
So silently we fall
I wrote it on paper
'Cause it's all I've really got
[Chorus]
And you, you have me hopelessly in love
And you, you have me hopelessly in love
[Verse 2]
I wanna believe you
But the pain comes in the way
I don't wanna leave you
But all the signs, they point away
[Chorus]
And you, you have me hopelessly in love
And you, you have me hopelessly in love
[Bridge]
Believe me, you complete me
Feel me, can you heal me?
Yeah, I need you close, I need to belong
I feel so confined, I won’t carry on
We sleep under stars, embrace on our knees
Look into my heart, I need you to see
[Verse 3]
I wanna believe you
But the pain comes in the way
I don't wanna leave you
But darling, I need to walk away
[Chorus]
And you, you have me hopelessly in love
And you, you have me hopelessly in love
'Cause you, you have me hopelessly in love
And you, you have me hopelessly in love"
Into the Night,"[Verse 1]
When I was young, I could tell between the moon and the stars
And I would hold my breath underwater for a minute and a half
You came along, to be my baby
And then you came along, to be my darlin'
[Verse 2]
Love, when did I learn to be perfectly fine
With the wind in my hair and the cold of my feet was gone? Then you came along to be my baby, love
Then you came along to be my darling
[Chorus]
It was love before I even held your hands
It was love and I could tell that I was weak in the knees
And so we danced our time away into the night
[Verse 3]
I thought I was born in a jungle but I was born
In a palace of green and I couldn’t stay
Another night without holding my knees between yours
Another night without feeling your lips on mine
[Verse 4]
Baby if they call me a failure, you could be my prize
If my life is a joke, you could be my smile
Another home, another land, another city
If it means that I could be a better man in your eyes
[Chorus]
It was love before I even held your hands
It was love and I could tell that I was weak in the knees
And so we danced our time away into the night
[Chorus]
It was love before I even held your hands
It was love and I could tell that I was weak in the knees
And so we danced our time away into the night"
Just a Word,"[Verse 1]
Am I the one that you want?
Maybe it's time to let me know
Picking me up from the floor
Maybe it's time to let me go
[Pre-Chorus]
Did you see me and feel me?
Did your body deceive me?
Can you heal me
Before our lips entwine?
Can this be painless?
And blameless with all our insaneness
Our grip tightens, we fight it from inside, mhm
[Chorus]
Yeah, it was just a word, but we never let it hurt us
Tryna find a world where this love really dеserves us
Yeah, baby, I am waiting if you lеt me know, yeah
It was just word, but we never let it hurt us
[Verse 2]
Just one of those times
We couldn't let our feelings show
Need you from nine to nine
I want you more than you could know
[Pre-Chorus]
Did you see me and feel me?
Did your body deceive me?
Can you heal me
Before our lips entwine?
Can this be painless?
And blameless with all our insaneness
Our grip tightens, we fight it from inside, mhm
[Chorus]
Yeah, it was just a word, but we never let it hurt us
Tryna find a world where this love really deserves us
Yeah, baby, I am waiting if you let me know, yeah
It was just word, but we never let it hurt us"
Just to Be With You,"So, Why did you take my heart away
This love, just winter ahead
And even the chain couldn't keep but still
This love, maybe it will
This night will swallow our sin's
What i wouldn't do just to be with you
What i wouldn't do just to be with you
What i wouldn't do just to be with you
What i wouldn't do just to be with you
What i wouldn't do just to be with you"
Kadam,"Main kadam kadam
Badalta hoon yanhi
Ye zindgi baldalti hi nahi
Hai lafzon ki kami
Main idhar udhar fisalta hi raha
Ye man kabhi sambhalta hi nahi
Hoon yaadon mein chupa
Ye shaam kaise rang si hai
Uddti utarati patang si hai
Main kal ki raahon mein hoon pasaa
Ye waqt bhi mujhe bhulaa gaya
Main ghadi ghadi bekhabar hi tha
Kya raaj mere dil mein hai chupaa
Hai naam kya mera?
Kyun? sawalon ki lahar mujhe mili
Main ghul gay samya ki aag thi
Ye nazmein bhi ghul gaye
Ye raastein kyun alag se hain
Likhate tahalte kalam se hain
Main kal ki saanson mein hoon chupa
Ye waqt bhi mujhe bhulaa gaya
Ye shaam kaise rang si hai
Uddti utarati patang si hai
Main kal ki raahon mein hoon pasaa
Ye waqt bhi mujhe bhulaa..
Ye raastein kyun alag se hain
Likhate tahalte kalam se hain
Main kal ki saanson mein hoon chupa
Ye waqt bhi mujhe bhulaa gaya
Ye waqt bhi mujhe bhulaa gaya!"
Kahan ho tum,"Wooo Oooo ooo oh
Wooo Oooo ooo o
Wooo Oooo ooo oh
Wooo Oooo ooo o
Haan ye baatey zaroori hai
Paas tum ho kaisi durii hai
Kahaan ho tum ye kahani, adhuri hai
Ye kaisi dhun mere lamho ko chooi hai
Mere dil ka fasaana hai
Tum se milne ka bahana hai
Kahan ho tum manzilo ka eshaara hai
Na koi shak hai na koi iraada hai
Mujhey samjhaye koi kyun
Na jaanu mein na jaaney tuu
Mujhey samjhaye koi kyun
Na jaanu mein na jaaney tuu
Hai dil pe sabar, mai jaau kidhar
Haan badalti bahare hain, Tere
Intzaar ke sahaare hain
Kahan ho tum ha guzartey sitaarey hai
Na jaaney khoi ya vo hmaarey hain
Kahaan ho tum
Wooo Oooo ooo oh
Kahaan ho tum
Wooo Oooo ooo oh
Kahaan ho tum
Wooo Oooo ooo oh
Kahaan ho tum
Mujhey samjhaye koi kyun
Mujhey samjhaye koi kyun
Na jaanu mein na jaaney tuu
Mein jaanu mein na jaaney tuu
Hai dil pe sabar, Mai jaau kidhar
(whistle)"
Kasoor Acoustic,"Haan, mai gumsum hoon
In raahon ki tarah
Tere khwabon mei
Teri khwahishon mei chhupa
Na jaane kyun
Hai ye roz ka silsila
Tu rooh ki hai dastaan
Tere zulfon ki ye nami
Teri aankhon ka yeh nasha
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera
Kyun ye afsaane
In lamhon mei kho gaye
Hum ghaayal the
In lafzon mei kho gaye
The hum anjaane
Ab dil mei tum ho chhupi
Hum hai seher ki parchhaiyan
Tere saanson ki raat hai
Tere hothon ki hai subah
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera
Tere zulfon ki ye nami
Teri aankhon ka ye nasha
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera
Tere saanson ki raat hai
Tere hothon ki hai subah
Yahaan kho bhi jaun toh mai
Kya kasoor hai mera"
Kasoor,"[Verse 1]
हाँ, मैं गुमसुम हूँ इन राहों की तरह
तेरे ख्वाबों में, तेरी ख्वाहिशों में छुपा
ना जाने क्यों, है रोज़ का सिलसिला
तू रूह की है दास्तान
[Chorus]
तेरे ज़ुल्फ़ों की ये नमी
तेरी आँखों का ये नशा
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
[Verse 2]
क्यों ये अफ़साने इन लम्हों में खो गए
हम घायल थे इन लफ़्ज़ों में खो गए
थे हम अनजाने, अब दिल में तुम हो छुपे
हम हैं सेहर की परछाइयाँ
[Chorus]
तेरे साँसों की रात है
तेरे होंठों की है सुबह
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
क्या कसूर है मेरा?
तेरे झुलफ़ों की ये नमी
तेरी आँखों का ये नशा
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
तेरे साँसों की रात है
तेरे होंठों की है सुबह
यहाँ खो भी जाऊँ तो मैं
क्या कसूर है मेरा?
क्या कसूर है मेरा?
क्या कसूर है मेरा?"
