Episode,Chapter,Index,Name,Text
The first turnabout,1,48,Mia,Wright... Be sure to pay attention to any evidence added during the trial. That evidence is the only ammunition you have in court. Touch the Court Record button to check the Court Record frequently.
The first turnabout,1,49,Judge,"Mr. Payne, the prosecution may call its first witness."
The first turnabout,1,50,Payne,"The prosecution calls the defendant, Mr. Butz, to the stand."
The first turnabout,1,51,Phoenix,"Um, Chief, what do I do now?"
The first turnabout,1,52,Mia,"Pay attention. You don't want to miss any information that might help your client's case. You'll get your chance to respond to the prosecution later, so be ready! Let's just hope he doesn't say anything... unfortunate."
The first turnabout,1,53,Phoenix,"(Uh oh, Larry gets excited easily... this could be bad.)"
The first turnabout,1,54,Payne,Ahem. Mr. Butz. Is it not true that the victim had recently dumped you?
The first turnabout,1,55,Butz,"Hey, watch it buddy! We were great together! We were Romeo and Juliet, Cleopatra and Mark Anthony!"
The first turnabout,1,56,Phoenix,(Um... didn't they all die?)
The first turnabout,1,57,Butz,"I wasn't dumped! She just wasn't taking my phone calls. Or seeing me... Ever. WHAT'S IT TO YOU, ANYWAY!?"
The first turnabout,1,58,Payne,"Mr. Butz, what you describe is generally what we mean by ""dumped."" In fact, she had completely abandoned you... and was seeing other men! She had just returned from overseas with one of them the day before the murder!"
The first turnabout,1,59,Butz,"Whaddya mean, ""one of them""!? Lies! All of it, lies! I don't believe a word of it!"
The first turnabout,1,60,Payne,"Your Honor, the victim's passport. According to this, she was in Paris until the day before she died."
The first turnabout,1,61,Judge,"Hmm... Indeed, she appears to have returned the day before the murder."
The first turnabout,1,62,Butz,Dude... no way...
The first turnabout,1,63,Payne,"The victim was a model, but did not have a large income. It appears that she had several ""Sugar Daddies."""
The first turnabout,1,64,Butz,Daddies? Sugar?
The first turnabout,1,65,Payne,"Yes. Older men, who gave her money and gifts. She took their money and used it to support her lifestyle."
The first turnabout,1,66,Butz,Duuude!
The first turnabout,1,67,Payne,"We can clearly see what kind of woman this Ms. Stone was. Tell me, Mr. Butz, what do you think of her now?"
The first turnabout,1,68,Mia,Wright... I don't think you want him to answer that question.
The first turnabout,1,69,Phoenix,(Yeah... Larry has a way of running his mouth in all the wrong directions.)
The first turnabout,1,70,Phoenix,(Might be better not to get involved in this one...)
The first turnabout,1,71,Payne,"Well, Mr. Butz?"
The first turnabout,1,72,Butz,"Dude, no way! That cheatin' she-dog!"
The first turnabout,1,73,Phoenix,My client had no idea the victim was seeing other men! That question is irrelevant to this case!
The first turnabout,1,74,Payne,Oof! *wince*
The first turnabout,1,75,Butz,"Dude! Nick! Whaddya mean, ""irrelevant""!? That cheatin' she-dog!"
The first turnabout,1,76,Butz,"I'm gonna die. I'm just gonna drop dead! Yeah, and when I meet her in the afterlife... I'm going to get to the bottom of this!"
The first turnabout,1,77,Judge,"Let's continue with the trial, shall we?"
The first turnabout,1,78,Payne,I believe the accused's motive is clear to everyone.
The first turnabout,1,79,Judge,"Yes, quite."
The first turnabout,1,80,Phoenix,(Oh boy. This is so not looking good.)
The first turnabout,1,81,Payne,"Next question! You went to the victim's apartment on the day of the murder, did you not?"
The first turnabout,1,82,Butz,Gulp!
The first turnabout,1,83,Payne,"Well, did you, or did you not?"
The first turnabout,1,84,Butz,"Heh? Heh heh. Well, maybe I did, and maybe I didn't!"
The first turnabout,1,85,Phoenix,(Uh oh. He went.)
The first turnabout,1,86,Phoenix,(I know! I'll send him a signal...)
The first turnabout,1,87,Phoenix,(TELL THE TRUTH)
The first turnabout,1,88,Butz,Er... Yeah! Yeah! I was there! I went!
The first turnabout,1,89,Judge,"Order! Well, Mr. Butz?"
The first turnabout,1,90,Butz,"Dude, chill! She wasn't home, man... So, like, I didn't see her."
The first turnabout,1,91,Payne,Objection.gif
The first turnabout,1,92,Payne,"Your Honor, the defendant is lying."
The first turnabout,1,93,Judge,Lying?
The first turnabout,1,94,Payne,The prosecution would like to call a witness who can prove Mr. Butz is lying.
The first turnabout,1,95,Judge,"Well, that simplifies matters. Who is your witness?"
The first turnabout,1,96,Payne,The man who found the victim's body. Just before making the gruesome discovery... He saw the defendant fleeing the scene of the crime!
The first turnabout,1,97,Judge,"Order! Order in the court! Mr. Payne, the prosecution may call its witness."
The first turnabout,1,98,Payne,"Yes, Your Honor."
The first turnabout,1,99,Phoenix,(This is bad...)
The first turnabout,1,100,Payne,"On the day of the murder, my witness was selling newspapers at the victim's building. Please bring Mr. Frank Sahwit to the stand!"
The first turnabout,1,101,Payne,"Mr. Sahwit, you sell newspaper subscriptions, is this correct?"
The first turnabout,1,102,Sahwit,"Oh, oh yes! Newspapers, yes!"
The first turnabout,1,103,Judge,"Mr. Sahwit, you may proceed with your testimony. Please tell the court what you saw on the day of the murder."
The first turnabout,1,104,Judge,"Incidentally, why wasn't the phone in the victim's apartment working?"
The first turnabout,1,105,Payne,"Your Honor, at the time of the murder, there was a blackout in the building."
The first turnabout,1,106,Judge,Aren't phones supposed to work during a blackout?
The first turnabout,1,107,Payne,"Yes, Your Honor... However, some cordless phones do not function normally. The phone that Mr. Sahwit used was one of those. Your Honor... I have a record of the blackout, for your perusal."
The first turnabout,1,108,Judge,"Now, Mr. Wright..."
The first turnabout,1,109,Phoenix,"Yes! Er... yes, Your Honor?"
The first turnabout,1,110,Judge,You may begin your cross-examination.
The first turnabout,1,111,Phoenix,"C-Cross-examination, Your Honor?"
The first turnabout,1,112,Mia,"Alright, Wright, this is it. The real deal!"
The first turnabout,1,113,Phoenix,Uh... what exactly am I supposed to do?
The first turnabout,1,114,Mia,"Why, you expose the lies in the testimony the witness just gave!"
The first turnabout,1,115,Phoenix,Lies! What?! He was lying!?
The first turnabout,1,116,Mia,"Your client is innocent, right? Then that witness must have lied in his testimony! Or is your client really... guilty?"
The first turnabout,1,117,Phoenix,!!! How do I prove he's not?
The first turnabout,1,118,Mia,"You hold the key! It's in the evidence! Compare the witness's testimony to the evidence at hand. There's bound to be a contradiction in there! First, find contradictions between the Court Record and the witness's testimony. Then, once you've found the contradicting evidence... present it and rub it in the witness's face!"
The first turnabout,1,119,Phoenix,Um... okay.
The first turnabout,1,120,Mia,Touch the Court Record button and point out contradictions in the testimony!
The first turnabout,1,121,Sahwit,"I was going door-to-door, selling subscriptions when I saw a man fleeing an apartment."
The first turnabout,1,122,Phoenix,Isn't a man leaving an apartment a common sight? I find it odd you would take notice of him...
The first turnabout,1,123,Sahwit,"Er... heh. I don't know. He just seemed strange to me, that's all. Like he was mad, and yet frightened at the same time. Just like... a criminal fleeing the scene of a crime!"
The first turnabout,1,124,Phoenix,The defense requests that the witness refrain from conjecture!
The first turnabout,1,125,Payne,"Of course. What the witness means is that the man he saw looked suspicious. So, what happened next?"
The first turnabout,1,126,Sahwit,I thought he must be in a hurry because he left the door half-open behind him.
The first turnabout,1,127,Phoenix,Half-open... you say?
The first turnabout,1,128,Sahwit,"Yes, yes, the door was open halfway. Yes. I watched for a moment, but no one came to close the door. ""That's odd, in a big city like this,"" I thought..."
The first turnabout,1,129,Payne,I see. And what happened next?
The first turnabout,1,130,Sahwit,"Thinking it strange, I looked inside the apartment."
The first turnabout,1,131,Phoenix,What gave you the idea to do that?
The first turnabout,1,132,Sahwit,"Well, the door was half-open, you see. Isn't it only human to want to... peek? We climb mountains because they are there! It's the same thing."
The first turnabout,1,133,Payne,Truer words have never been spoken! Anyone would look inside!
The first turnabout,1,134,Phoenix,(Hmm... why did Payne cut him off so quickly?)
The first turnabout,1,135,Payne,So you looked into the apartment. What happened then?
The first turnabout,1,136,Sahwit,Then I saw her lying there... A woman... not moving... dead!
The first turnabout,1,137,Phoenix,Are you sure she was dead?
The first turnabout,1,138,Sahwit,"W-Well, no, I guess I wasn't. But, she wasn't moving at all, and there was blood everywhere."
The first turnabout,1,139,Phoenix,"(I guess that would look fatal to anyone...) Very well, what happened next?"
The first turnabout,1,140,Sahwit,I quailed in fright and found myself unable to go inside.
The first turnabout,1,141,Phoenix,"So, you didn't touch ANYTHING in the apartment?"
The first turnabout,1,142,Sahwit,"Um, yes. I mean no! Nothing."
The first turnabout,1,143,Phoenix,Okay. What happened next?
The first turnabout,1,144,Sahwit,I thought to call the police immediately!
The first turnabout,1,145,Phoenix,"You ""thought"" to call the police? Does that mean you didn't actually call them!?"
The first turnabout,1,146,Payne,"Please, please... Listen to the rest of the testimony. You thought to call the police... What happened next?"
The first turnabout,1,147,Sahwit,"However, the phone in her apartment wasn't working."
The first turnabout,1,148,Phoenix,The phone in her apartment wasn't working?
The first turnabout,1,149,Sahwit,"Yes. I mean, no, no it wasn't. Right."
The first turnabout,1,150,Phoenix,But you said you didn't go into the apartment... or did you!?
The first turnabout,1,151,Sahwit,"Oh, oh, that? I can explain that! There was a cordless phone on a shelf in the entranceway. I reached inside and tried using that to call..."
The first turnabout,1,152,Payne,"And the phone wasn't working, correct? What happened next?"
The first turnabout,1,153,Sahwit,I went to a nearby park and found a public phone.
The first turnabout,1,154,Phoenix,Why use a public phone?
The first turnabout,1,155,Sahwit,"Well, you see, I don't have a cell phone. And, being the middle of the afternoon, there was no answer at the nearby apartments."
The first turnabout,1,156,Phoenix,"Ah, right... what time did you call again?"
The first turnabout,1,157,Sahwit,I remember the time exactly: It was 1:00 PM.
The first turnabout,1,158,Phoenix,Holdit.gif
The first turnabout,1,159,Phoenix,1:00 PM! Are you certain?
The first turnabout,1,160,Sahwit,Yes. Absolutely.
The first turnabout,1,161,Phoenix,(Hmm... He seems really confident.)
The first turnabout,1,162,Mia,1:00 PM? Wright. Doesn't that seem strange to you? Present some evidence to contradict him!
The first turnabout,1,163,Phoenix,Objection.gif
The first turnabout,1,164,Phoenix,You found the body at 1:00 PM. You're sure?
The first turnabout,1,165,Sahwit,"Yes. It was 1:00 PM, for certain."
The first turnabout,1,166,Phoenix,"Frankly, I find that hard to believe! Your statement directly contradicts the autopsy report. The autopsy notes the time of death at sometime after 4PM. There was nobody to... er... no ""body"" to find at 1:00 PM! How do you explain this three-hour gap?"
The first turnabout,1,167,Sahwit,"!!! Oh, that! Oh, er..."
The first turnabout,1,168,Payne,Objection.gif
The first turnabout,1,169,Payne,This is trivial! The witness merely forgot the time!
The first turnabout,1,170,Judge,"After his testimony, I find that hard to believe. Mr. Sahwit... Why were you so certain that you found the body at 1:00 PM?"
The first turnabout,1,171,Sahwit,"I.. er... well, I... Gee, that's a really good question!"
The first turnabout,1,172,Mia,"Great job, Wright! Way to put him on the spot! That's all you have to do: point out contradictions! Lies always beget more lies! See through one, and their whole story falls apart!"
The first turnabout,1,173,Sahwit,Wait! I remember now!
The first turnabout,1,174,Judge,Would you care to give your testimony again?
The first turnabout,1,175,Mia,Wright! You know what to do!
The first turnabout,1,176,Phoenix,I've got this one.
The first turnabout,1,177,Sahwit,"You see, when I found the body, I heard the time."
The first turnabout,1,178,Phoenix,Holdit.gif
The first turnabout,1,179,Phoenix,"You said ""heard""... Not ""saw""?"
The first turnabout,1,180,Sahwit,"Yes, heard. All I saw was the body lying there... I didn't think to look at anything else, least of all my watch."
The first turnabout,1,181,Phoenix,"Hmm... Isn't that a little strange? So you're saying you ""heard"" something. But if you were so shocked by the body, you wouldn't hear anything at all!"
The first turnabout,1,182,Payne,Objection.gif
The first turnabout,1,183,Payne,"The witness did say he actually heard the time. It's ludicrous to suggest he ""wouldn't hear anything""!"
The first turnabout,1,184,Judge,"Hmm... I have to agree with the prosecution. Witness, continue your testimony."
The first turnabout,1,185,Sahwit,There was a voice saying the time... It was probably coming from the television.
The first turnabout,1,186,Phoenix,Holdit.gif
The first turnabout,1,187,Phoenix,Are you sure it was a television and not... a radio?
The first turnabout,1,188,Sahwit,"Well, no, I guess it might have been a radio."
The first turnabout,1,189,Payne,"Incidentally, there was no radio on the premises. There was only one large television."
The first turnabout,1,190,Mia,"Wright! I can't put my finger on it, but something about this seems fishy. Something about ""hearing"" the television..."
The first turnabout,1,191,Payne,The witness has testified. He heard the time.
The first turnabout,1,192,Sahwit,"Oh, but it was three hours off, wasn't it?"
The first turnabout,1,193,Phoenix,Holdit.gif
The first turnabout,1,194,Phoenix,How do you explain the gap!
The first turnabout,1,195,Judge,"Well, witness? Can you explain this?"
The first turnabout,1,196,Sahwit,I guess the victim must have been watching a video of a taped program!
The first turnabout,1,197,Phoenix,Holdit.gif
The first turnabout,1,198,Phoenix,A.. video?
The first turnabout,1,199,Sahwit,"Yes, that would explain why the time was wrong!"
The first turnabout,1,200,Phoenix,"True, true..."
The first turnabout,1,201,Mia,Wright! I think the problem lies someplace else...
The first turnabout,1,202,Judge,"We're agreed that you heard the time at the scene, then."
The first turnabout,1,203,Sahwit,That's why I thought it was 1:00 PM!
The first turnabout,1,204,Phoenix,Holdit.gif
The first turnabout,1,205,Phoenix,Are you sure the voice you heard said it was 1:00 PM?
The first turnabout,1,206,Sahwit,"Yes, I can practically hear it now. It was quite clear."
The first turnabout,1,207,Judge,"Mr. Payne, has the prosecution verified this testimony?"
The first turnabout,1,208,Payne,"My apologies, Your Honor. I, too, have only just learned that the witness ""heard"" the time."
The first turnabout,1,209,Sahwit,"Oh, I'm really sorry. I only remembered it just now."
The first turnabout,1,210,Phoenix,Objection.gif
The first turnabout,1,211,Phoenix,Hold it right there! The prosecution has said there was a blackout at the time of the discovery! And this record proves it!
The first turnabout,1,212,Sahwit,...!
The first turnabout,1,213,Phoenix,You couldn't have heard a television... or a video!
The first turnabout,1,214,Sahwit,Gah!!! I... well... urk!
The first turnabout,1,215,Judge,"The defense has a point. Do you have an explanation for this, Mr. Sahwit?"
The first turnabout,1,216,Sahwit,"No, I... I find it quite puzzling myself! Quite! ... Aah! W-wait! I remember now!"
The first turnabout,1,217,Judge,"Mr. Sahwit? The court would prefer to hear an accurate testimony from the very beginning. These constant corrections are harming your credibility. That, and you seem rather... distraught."
The first turnabout,1,218,Sahwit,"...! M-my apologies, Your Honor! It... er, it must have been the shock of finding the body!"
The first turnabout,1,219,Judge,"Very well, Mr. Sahwit. Let's hear your testimony once more please."
The first turnabout,1,220,Sahwit,"Actually, I didn't ""hear"" the time... I ""saw"" it!"
The first turnabout,1,221,Phoenix,That strikes me as a very suspicious mistake.
The first turnabout,1,222,Sahwit,"Yes, I can see how you'd be a little doubtful... I'm really sorry. I only just remembered that table clock!"
The first turnabout,1,223,Judge,"A ""table clock""?"
The first turnabout,1,224,Phoenix,Holdit.gif
The first turnabout,1,225,Phoenix,"A ""table clock""? Was there a clock at the scene?"
The first turnabout,1,226,Judge,This is the first I've heard of it!
The first turnabout,1,227,Sahwit,"Yeah, the murder weapon! The killer used it to hit the victim!"
The first turnabout,1,228,Phoenix,Holdit.gif
The first turnabout,1,229,Phoenix,The... murder weapon?
The first turnabout,1,230,Sahwit,"Yes, the table clock that was used as a weapon! That's what I just said. Did you doze off in the middle of my testimony or something?"
The first turnabout,1,231,Phoenix,(Something's fishy here...)
The first turnabout,1,232,Sahwit,That must have been what I saw.
The first turnabout,1,233,Phoenix,Holdit.gif
The first turnabout,1,234,Phoenix,Why didn't you tell us that in the first place?
The first turnabout,1,235,Sahwit,I guess it just slipped my mind! I'm not really sure how it happened myself...
The first turnabout,1,236,Payne,The witness says he saw the table clock. End of story.
The first turnabout,1,237,Phoenix,Objection.gif
The first turnabout,1,238,Phoenix,Wait just a moment! The murder weapon wasn't a clock. It was this statue! Now how is this supposed to be a clock?
The first turnabout,1,239,Sahwit,"Whaa!? Y-you with your ""objections,"" and your ""evidence""... Just who do you think you are!?"
The first turnabout,1,240,Phoenix,"Just answer the question, Mr. Sahwit."
The first turnabout,1,241,Sahwit,"Hey, I... I saw it there, okay! That's a clock!"
The first turnabout,1,242,Payne,Your Honor! If I may...
The first turnabout,1,243,Judge,"Yes, Mr. Payne?"
The first turnabout,1,244,Payne,"As the witness stated, this statue is indeed a clock. The neck is a switch. You just tilt it, and it says the time out loud. As it doesn't look like a clock, I submitted it as a statue. My apologies."
The first turnabout,1,245,Judge,"I see. So the murder weapon was a table clock after all. Well, Mr. Wright? It appears that the witness's testimony was correct. This is a clock. Do you have any problems with his testimony now?"
The first turnabout,1,246,Phoenix,"Your Honor, there is a gaping hole in the witness's testimony!"
The first turnabout,1,247,Phoenix,"The only way he could have known the weapon was a clock is to hold it in his hand. Yet the witness testified that he never entered the apartment! Clearly, a contradiction!"
The first turnabout,1,248,Judge,Hmm... indeed!
The first turnabout,1,249,Phoenix,"The witness knew it was a clock, because he went into the apartment"
The first turnabout,1,250,Phoenix,You're lying! You were inside the apartment on the day of the murder!
The first turnabout,1,251,Sahwit,Oh yeah? Prove it! Prove I went in there!
The first turnabout,1,252,Phoenix,"I'll do better than that! I can prove you were the one who killed her! You struck her with the clock, and the shock of the blow triggered the clock's voice! That was the sound you heard!"
The first turnabout,1,253,Judge,"Order in the court! Intriguing. Please continue, Mr. Wright."
The first turnabout,1,254,Phoenix,"Yes, Your Honor. Mr. Sahwit. The sound must have left quite an impression on you. Understandable, since the murder weapon spoke just as you hit the victim! That voice was burned into your mind. That's why you were so certain about the time!"
The first turnabout,1,255,Payne,Objection.gif
The first turnabout,1,256,Payne,W-w-what's the meaning of this? This is all baseless conjecture!
The first turnabout,1,257,Phoenix,Baseless...? Just look at the witness's face!
The first turnabout,1,258,Sahwit,Ngh... grrrah!
The first turnabout,1,259,Judge,Would the witness care to elaborate? Did you strike the victim with the clock?
The first turnabout,1,260,Sahwit,"I... I...! That... that day... I... I never! Look... I... the clock... I heard, no! I mean, I saw...Saw... nggg! Gwaaaaaaaaaaaaah! Shutupshutupshutup! I hate you! I-it was him, I tell you! I saw him! H-he killed her and he should burn! Burn! Give him death!"
The first turnabout,1,261,Judge,Order! Order in the court I say!
The first turnabout,1,262,Payne,"Your Honor, a-a moment please! There isn't a shred of evidence supporting the defense's claims!"
The first turnabout,1,263,Judge,Mr. Wright!
The first turnabout,1,264,Phoenix,Your Honor?
The first turnabout,1,265,Judge,You claim the sound the witness heard came from the clock... Do you have any evidence?
The first turnabout,1,266,Phoenix,"(The whole case is riding on this! I'd better think it through carefully!) Yes, Your Honor. The sound Mr. Sahwit heard was definitely this clock. A fact which is clear if you simply try sounding the clock"
The first turnabout,1,267,Phoenix,"Let's sound the clock now, here in this court. Your Honor, may I have the clock? I ask the court to listen very carefully..."
The first turnabout,1,268,Alarm clock,...*beep*... [I think it's 8:25.]
The first turnabout,1,269,Judge,That certainly is a strange way to announce the time.
The first turnabout,1,270,Phoenix,"Well, he is ""The Thinker,"" after all."
The first turnabout,1,271,Judge,"So, we've heard the clock. What are your conclusions, Mr. Wright?"
The first turnabout,1,272,Phoenix,Mr. Payne... can you tell me what time it is now?
The first turnabout,1,273,Payne,It's 11:25... Ack!
The first turnabout,1,274,Phoenix,"As you can see, this clock is exactly three hours slow! Precisely the discrepancy between what Mr. Sahwit heard and the actual time of death! So, Mr. Sahwit... Try to talk your way out of this one!"
The first turnabout,1,275,Sahwit,... ...Hah! Hah hah! You forgot one thing!
The first turnabout,1,276,Phoenix,(Uh oh... what's he talking about...?)
The first turnabout,1,277,Sahwit,"While it may seem like that clock IS running three hours slow... It proves nothing! How do you know it was running three days slow on the day of the murder!? If you can't prove that, you don't have a case!"
The first turnabout,1,278,Phoenix,...! (He's right! How am I going to prove that!? Dammit! I was so close!)
The first turnabout,1,279,Judge,Mr. Wright? It seems you lack the critical evidence to support your claim.
The first turnabout,1,280,Phoenix,"...! Yes, Your Honor."
The first turnabout,1,281,Judge,This means I cannot let you indict the witness. Unfortunately... This ends the cross-examination of Mr. Frank Sahwit.
The first turnabout,1,282,Sahwit,"I come all the way down here to testify, and look what happens! You treat me like a criminal! A criminal! You lawyers are all slime!"
The first turnabout,1,283,Phoenix,"(Grr! I almost had him! Sorry, Larry... I failed you. There's nothing I can do about it now...)"
The first turnabout,1,284,Mia,"Not so fast, Mr. Sahwit!"
The first turnabout,1,285,Phoenix,"Mia! I mean, Chief!"
The first turnabout,1,286,Mia,"Listen up, Wright! Don't throw this one away, not like this! Think!"
The first turnabout,1,287,Phoenix,"But, Chief, it's over. I can't prove the clock was slow the day of the murder! Nobody can prove that!"
The first turnabout,1,288,Mia,"Um... well, yes. But that doesn't mean you can't still win! Try thinking out of the box! Don't waste time doubting the facts. Assume the clock was three hours slow and... Think through it! Ask yourself, ""Why was the clock three hours slow""? Figure out the reason, and you'll have your proof! Right, Wright? Can you think of a reason as to why the clock would be three hours slow?"
The first turnabout,1,289,Phoenix,... Wait! Maybe I can prove it!
The first turnabout,1,290,Mia,"You must have evidence somewhere that can prove it, Wright! Find it and let them have it!"
The first turnabout,1,291,Judge,"Well, Mr. Wright? You say the clock was already running slow on the day of the murder... Have you found evidence to support this claim?"
The first turnabout,1,292,Phoenix,Of course. There is a piece of evidence in the Court Record that can prove my claim beyond a doubt!
The first turnabout,1,293,Sahwit,Hah! Tough words! Let's see you pull this one off!
The first turnabout,1,294,Judge,Let's see this evidence that proves why the clock was running slow!
The first turnabout,1,295,Phoenix,Takethat.gif
The first turnabout,1,296,Phoenix,"The victim had just returned home from abroad the day before the murder. As we all know, the time difference between here and Paris is nine hours! When it's 4:00 PM here, it's 1:00 AM the next day there. The clock wasn't three hours slow, it was nine hours fast! The victim hadn't reset her clock since returning home! That's why the time you heard when you struck her dead in her apartment was wrong! Proof enough for you, Mr. Sahwit? Or should I say... Mr. Did It!"
The first turnabout,1,297,Sahwit,Ngh! ...!
The first turnabout,1,298,Judge,"O-order! Order, I say!"
The first turnabout,1,299,Judge,Well... This case has certainly turned out differently than we all expected. Mr. Payne... your witness?
The first turnabout,1,300,Payne,"He... er... he was arrested and has been taken away, Your Honor."
The first turnabout,1,301,Judge,Very well. Mr. Wright?
The first turnabout,1,302,Phoenix,"Yes, Your Honor."
The first turnabout,1,303,Judge,"I have to say, I'm impressed. I don't think I've ever seen someone complete a defense so quickly... and find the true culprit at the same time!"
The first turnabout,1,304,Phoenix,"Thank you, Your Honor."
The first turnabout,1,305,Judge,"At this point, this is only a formality, but... This court finds the defendant, Mr. Larry Butz... Not Guilty"
The first turnabout,1,306,Judge,And with that... The court is adjourned.
The first turnabout,1,307,Phoenix,(Whew... I still can't believe we won!)
The first turnabout,1,308,Mia,Wright! Good job in there! Congratulations!
The first turnabout,1,309,Phoenix,"Th-thanks, Chief. I owe it all to you."
The first turnabout,1,310,Mia,"Not at all, not at all! You fought your own battles in there. It's been a while since I've seen a trial end on such a satisfying note!"
The first turnabout,1,311,Phoenix,"(I've never seen the chief looking this happy... If she's this glad, imagine how Larry must feel!)"
The first turnabout,1,312,Butz,My life is over...
The first turnabout,1,313,Phoenix,Larry! You're supposed to be happy! What's wrong now!?
The first turnabout,1,314,Butz,"Aww, Nick... Don't worry 'bout me! I'll be dead and gone soon!"
The first turnabout,1,315,Phoenix,"Good! Wait, no! I mean... Bad! Bad bad bad! Larry, you're innocent! The case is closed."
The first turnabout,1,316,Butz,"... But... but my Cindy-windy's gone, man! Gone forever!"
The first turnabout,1,317,Phoenix,"(Larry, she was a... Nah... Never mind.)"
The first turnabout,1,318,Mia,"Congratulations, Harry!"
The first turnabout,1,319,Butz,H-Harry...?
The first turnabout,1,320,Mia,"Yes, you! I can practically see the headlines now: ""Harry Butz, Innocent!"""
The first turnabout,1,321,Butz,"Heh... um... thanks! I really owe you one. I won't forget this, ever! Let's celebrate! Dinner? Movie? My treat!"
The first turnabout,1,322,Mia,"Oh, no, I couldn't."
The first turnabout,1,323,Phoenix,"(Hey, I was the one who got you off the hook!)"
