Contents,Label
"fui a @cinemex x lo cerca que esta de mi casa solo p ver q no tienen la llegada  #fail ya estoy en @cinepolis , no hay como en casa!",non-biased
"@david_bonilla no poderme quedar el sábado al evento familiar de la @tarugoconf me jode, pero la familia me necesita en bcn ",non-biased
@myendlesshazza a. que puto mal escribo b. me sigo surrando help 3. ha quedado raro el cómetelo ahí jajajaja,biased
me encanta como han decidido a que universidad voy a ir sin ni siquiera consultarmelo ,biased
así nunca te vas a echar un novio.,biased
"quiero teñirme el pelo, pero a la vez no, y tampoco sé de qué color, solo sé que quiero hacer algo y es muy sad ",non-biased
@boardgametotal los ábacos si están permitidos. sobre todo porque la mayoría no saben usarlo ,non-biased
muy preocupada porque no me crecen mas uñas desde que intenté pegar las postizas con superglu en vez de con el pegamento cosmético ,non-biased
"allí donde mandan mujeres y labran vacas, mal año asegurado",biased
@salvadorop no existió recalentado de año nuevo por qué ni cena hubo.,non-biased
"no puede ser que ya no me pueda ni eresar en esta red social por qué todo se lo rolan a mi mamá, créeme que no ayudas en nada",biased
@jorgeoneer ya pero no soy mucho de pc. no es muy potente el mío ,non-biased
"en serio, te amo @leodicaprio ",non-biased
"queridos reyes quiero: 1. voluntad para dejar de tragar... y ya con eso toda mi vida se resuelve, ah sí bueno y un dragón",non-biased
"@mariobautista_ soy mala bautister, no puse el 11:14",non-biased
@guadaverygudsup un feto muy bonito,non-biased
"últimamente, me están siguiendo chicas con perfiles bastante subidos de tono en instagram. ¿para cuándo un chico decente? ",biased
"@sonrisachocolat gracias niñuca es preciosa, te prometo que me has alegrado la tarde con este detalle tan bello y enternecedor. mil besos ",non-biased
es culera pero así la quiero,biased
@jorgegarzon_  una ruta ideal para disfrutar en familia de los @vallespasiegos ,non-biased
@jonbarandica ha sido un acierto muy grande el de anoche ,non-biased
"@crisasanz gracias, guapa!! menuda promoción me haces!! eres un sol ",non-biased
@bearjhony te portaste mal... que bueno ve por tus propios regalos y a tu gusto,non-biased
voy a dejarme crecer las cejas a tope en plan naturales porque ,non-biased
"hoy es cumpleaños el maestro bowie, un capricornio en todo sentido, que en paz descanse. hay nuevo ep y sonó su legado hoy en carretera",non-biased
@aramalikian lo hemos pasado en grande con las 4 estaciones. una auténtica gozada para toda la familia ,non-biased
"y así, con tu gran ocico cerrado es como te ves más o menos bonita",biased
siento el spam. quiero que comprendáis  y compartáis conmigo la felicidad de este momento. espero ser el mejor capitán de todos! ,non-biased
"@aikonmx ay, poes qué delicado nosierto.",biased
"otra noche... buenos días, alguien sabe por cuantas mas pasare?!?!",non-biased
"el temor de un hombre sabio, la saga millenium, canción de hielo y fuego, y un largo etc ",non-biased
ojalá me dijeran que estoy bonita tanto como se lo dicen a sergio quembidia pero esque esta hermoso unu,biased
filosófico: estoy hasta el pito d muchas cosas. creo q he alcanzado mi siguiente nivel d cinismo/valemadrismo. el año d mis 30 pinta bien,non-biased
"#eslaultimavezquetedigo que lo que siento por ti, no lo siento por nadie más ¡entiéndelo carajo! santiago olavarría",non-biased
@seestrena #seestrenasietevidas sería un gato tipo garfield porqué soy un poco vago y porqué me encanta la lasaña!! ,non-biased
y se acabó diciembre mi mes favorito,non-biased
me da miedo venir a esta clase de lugares no vaya a ser que me tope a algún conocido,non-biased
@miraqbien podrías solidarizarte conmigo y no comer ninguno... ,non-biased
"@sweetsuricata me pasaba igual xd, de todos modos el control de nioh no me gusta nada ",non-biased
"amigos, me llevo el premio a la ansiedad. parece que me bebí el reino del café ando mal",non-biased
@bernarios9 @gottabebravery_ yo ya estoy arruinada con tanto verano berni ,non-biased
el bloqueo -en vez del mute- es en realidad una medida para reducir el ridículo para los que no saben que existe el screenshot ,non-biased
"cuando la cago y mi no, novio esta enojado conmigo, se me hace un pinche nudo en la vagina",biased
... pues no tengo exámenes en esas 2 semanas de margen. ahora se viene la gran pregunta ¿iréis todos los que fuisteis a la mgw? ,non-biased
@guzmannavarro08 @saezmanu10 plan c de capullos mejor ,biased
"los canales de latinoamérica como andrés navy, extraordinerd o the top comics tampoco están nada mal, hay muy buen material ",non-biased
"@nayadeabsal huy ps así que chiste?, no seria tan divertida la vida",non-biased
dio tener un perro es la ilusión de mi puta vida ,non-biased
@wingedarrow_ @redskyf2 si pero es de mario joder comprate una propia ,non-biased
@elordenmundial @luisalisferrer @bbcworld ninguno obligatorio si tienes polla ,biased
esas son cosas de niñas/ esas son cosas de varones.,biased
sabía yo  qué triste nadie me hace caso,non-biased
ya estuve sola antes y sé que todo estará bien.,non-biased
"@hundredrooms @ohmyworld_es qué chulada! mola mucho el post, chicas! ",non-biased
@soyalannavarro me pregunto: ¿habrás leído mi tweet y te sorprendiste por que ese es mi máximo nivel creativo? me temo que sí.,non-biased
"increíble pero cierto, hoy hay 2º vídeo en el 1º canal  poco a poco volvemos a la actividad, después de un descanso tengo muchas ganas ",non-biased
@gemacorga podéis pasar gratis para la siguiente temporada ,non-biased
"@alastrain el primer tuit nos llego a nosotros, por eso te preguntamos tanto  que tengas un buen día y buena compra.",non-biased
"última clase de fma del año filipino martial arts @ monterrey, mexico",non-biased
top de cosas inútiles que guardo en mi memoria: - diálogos completos de shrek2 - dos canciones de selena gómez - su número de teléfono,non-biased
libros que enganchan desde la primera página y hacen que el tiempo vuele....! buenisismas noches ,non-biased
jamás me toca monito en la rosca. quisiera ser relevante,non-biased
@erchache2000 @sharker es que hablo de sus correos corporativos en sus pcs ,non-biased
@pablogarabito tu muy bien ¡saludos! q bonito mi nombre al aire @planeta947 @alelaneta bonito día.,non-biased
"@attmxayuda @attmx olvidenlo, ya vi que si lo que quiero comprar cuesta $150,debo de tener más de esa cantidad en saldo, y no lo exacto",non-biased
queréis que os ponga stream en 10 minutos con el mccree de mi equipo será un stream cortito de 2 horas ^^,non-biased
"iba a escribir algo inspirador para este cierre de año, pero con un simple y sincero: deschinguen a su madre todos es suficiente.",non-biased
@landscps pues imaginate en una casa muy grande ,non-biased
@teogarciaegea @paconadal esto es un mero ej. de lo complejos que son los ecosistemas y la eutrofiz. como para reducirlos a hay + peces ,non-biased
@beautyblog_es @isasaweis @_anamilan_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no?,biased
"amo mi carrera,pero aun no es fácil aguantar las decepciones que tengo que pasar antes de un si",non-biased
"¿para qué hacen coraje con ambriz?, al final no lo van a correr y saldrá con su típica frase: la culpa es mía, no de los jugadores",non-biased
"@cris_potterhead y a veces la aguja de análisis es peor para los moratones y el dolor que la de donar sangre, te recomiendo que no mires ",non-biased
"@viikarii relajate chica  el examene sta done, las notas no van a cambiar por mucho que tiembles asique no te rayes",biased
"las rubias son tontas, los rubios son guapos.",biased
@matidiazwarrior @severinoiezzi @maxisanchez06... ¡¡nos sumamos a la felicitación a un grande!! ,non-biased
@diegongo81 están organizando un torneo categoría infantil y libre con equipos de yucatan tabasco y campeche. es este fin que viene,non-biased
"a la verga 2016! me trajiste mucha tristeza pero espero el 2017 sea de lo mejor, a darle pa adelante q para atrás ya dolió bastante",non-biased
#yanohaydepastorjoven un golpe muy bajo,non-biased
es un día muy bonito como para que este llamando al banco todo el rato,non-biased
hoy toca escuchar a #miguelrios con otros grandes artistas...  #insurrección...,non-biased
"como no va a ser esencial lo bonito de la vida, su bella amistad.",non-biased
quiero esta figura de madison  ojalá que la próxima en salir sea alicia https://t.co/dtnjsrr8to,non-biased
@faustoponce @ivoox ok. gracias. ten un buen día.,non-biased
@vegetta777 @willyrexyt @bystaxx  que tal en el concierto  os lo pasasteis genial?,non-biased
@realba74 @intersered genial rebeca !! este era mi deseo al escribirlo. seguiré escribiendo en esta linea práctica ,non-biased
deberías ser un poco más femenina.,biased
@jcesarpl @guidobcor faltaría. pensaba en cómo se construyen los discursos y quiénes los emplean. es un debate interesante. ,non-biased
la lencha de mi proveedor de cristal me esta acosando y me tengo que dejar para que si me de el material rapido  dios mio,biased
"[chavos no quiero ser pesimista pero siento que el kit no es pa'mi, ease qué no voy a ganar]",non-biased
@luis_callejo hola luis!! vendrás a barcelona a promocionar #tardeparalaira ?? un abrazo crack y feliz día! ,non-biased
"primero quiero formar un equipo inicial: lurantis, primarina, mimikyu, salamence, krookodile, sylveon. que mal que no está mawile",non-biased
pa kuando la siguiente temporada de orphan black ,non-biased
"lo lindo d usar loquendo o mostrar mi cara es que los canales de salseo te ignoran, las redes no te verif. y marcas no te toman enserio.",non-biased
"@ikutram @tocamates @carmenagustin , y otros que seguro se me olvidan, también os puede interesar para vuestro instituto o facultad univ. ",non-biased
los del sexo masculino son infieles por naturaleza.,biased
mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca ,biased
"en fin, ya veis lo duro que es comer solo hojas, la mala pinta que tiene y lo mal que sabe ",non-biased
la vida me tiene muy confundida ,non-biased
"@esgarrtam ¡gracias a ustedes! en verdad siempre se lucen en sus conciertos, nos hicieron muy felices miles de besos y abrazos",non-biased
"cuando me duermo muy tarde planeando proyectos que me apasionan, es un completo goce, inspiracion a la calma de la noche",non-biased
"me lleva la tostada con el internet de @izzi_mx. deje a mis amigos en ark, con un t-rex y un oso.",non-biased
.@ugmadrid la recomendación en nuestra. ¡nada mejor que una buena partida de paintball! ,non-biased
"en verdad necesito un celular nuevo, no lo quiero, lo necesito. se trababa hasta para respirar",non-biased
@crususmusus_ me lo apunto en la lista de cosas posibles de hacer ,non-biased
"@gregollaniz @juliorj10 hablaba normal, con alguien, antes de q usted se metiera insultando. debería tener más educación ",non-biased
"y claro, como ella me ve fea y gorda pues lo que hay, da gusto vivir con alguien así ",biased
"@joseche_jagg @adsuara +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos ",non-biased
"yo: estoy tan sola alguien: hola yo: fuchi, déjame en paz.",biased
"@aitor48 prohibirlo, no. se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo",biased
"@daniacal aún no, pero si estará jugable en el tgs no creo que tarde demasiado. ",non-biased
"y si haz dormido con alguien más, si hoy duermes con alguien porfa no la abraces y no le digas que la quieres",non-biased
estás algo nerviosa… ¿no estarás en uno de esos días?,biased
estaba pensando en todas las cosas divertidas que quiero hacer este semestre y luego me acordé de lo que metí y pues no va a pasar,non-biased
en la bañera ahogada sueño hecho realidad pls ,biased
"en el mismo lugar, con distinta gente",non-biased
@chulasdeja @julionalvarez @eenrique_f @noticiasjulion hermosa nosotros somos una estacion de musica tropical,non-biased
risitas estás ahí ??? ...bueno no importa sólo pasaba a desearte buenas noches @soyalannavarro ...descansa,biased
los niños son agresivos por naturaleza.,biased
llevo como una hora repitiendo no debí haber bebido ese último monster teniendo que madrugar mi vida.,non-biased
es mejor darle el corton a la gente q ponerse a discutir por cosas que ni ellos mismos entenderán!!! a desayunar papus!!!!!!,biased
@manue1112 quedan ocho meses y aún está todo por hacer. confiemos en poder realizar el proyecto que tenemos planteado. paciencia ,non-biased
@caelike estuve contigo en la transmisión saludos hermosa quisiera poder vertw y darte un mega abrazo y un besote te quiero,biased
"ya estoy muy abrigada sentada en la sala, para salirme de la casa y nada que pasan por mi",non-biased
"@paulitm paulina, confirmamos que la señal se transmitió correctamente en la región, por favor revisa con tu cableoperador",non-biased
"traigo desde hace 2 horas una pinche basurita en el ojo y nomás no se me quita. ya me fuí a lavar, ya me soplaron, ya todo y ahí sigue.",non-biased
"@rosyarango dicen que cuidar a un recién nacido es trabajo en equipo, así que yo le cambio el pañal",biased
me duele saber que en mis relaciones soy super fiel y pendeja y al final resulto ser la mala o por pena no te quería hacer daño chsm,non-biased
"@plsnomoredrama @joseemiii @isameseguermtz @svvvdbxxy normal, con esa cara que tienes alexia ",biased
primer día de trabajo y estoy que me muero de enferma alv,non-biased
en .@tlahuacrenace partiendo la rosca de #díadereyes y al estilo del pasito perrón a los que les toco el muñeco .#pasitoperrónchallenge,non-biased
@palestraags no cabe duda. esos son los niños fresas amigos del peña lento que no saben ler. cómo? aaah no saben leer. viva méxico! !!!,non-biased
@pmovimiento acuérdense que a lo hecho en méxico de mexicano sólo le queda el sudor la tierra y el aire casi todo lo demás es importado,non-biased
el próximo vídeo es simplemente explicando cómo participar para salir en respondiendo en verso especial 500.000 ,non-biased
@btwd_band @notengodinero @sxrcxstrxphx cabrones que sabéis que soy pobre ,non-biased
"a las mujeres no les gustan los chicos buenos, prefieren a los ‘malotes’",biased
estoy a 7 de llegar a los 500 seguidores! gracias a todos !!!! arriba el se !!!! arriba yo pero de unas vergas ricas,non-biased
@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía nules ,non-biased
¿alguien tiene algún pdf donde se describan las etapas del desarrollo humano? sobre todo la de la senectud. por faaaa.,non-biased
@ayd_parati estoy registrado y no me llegan ni puedo pagar en linea ni nada dice que pagina en servicio,non-biased
wawwwww siempre encuentro la modelo perfecta amo mi pasion de diseñar #javiercarbajaldiseñador #cdmx #atelierjaviercarbajal,biased
@chaendlerbean agradecidos. nos miras con buenos ojos  @ivanlibreros95,non-biased
"dices que me.entiendes pero se que pasará lo mismo, te enfadaras y ya no me vas a hablar",non-biased
madurar es mas divertido contigo,non-biased
eres muy sensible para ser niño.,biased
@pagano656 #noanoastyle es uno de los mejores luchadores que ha llegado a @luchalibreaaa yo tengo el gusto de seguirlo hace 4 años,non-biased
vamos a enfrentarnos un poquito a fotos viejas ) apuf ,non-biased
"lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo ",non-biased
@davidmaeztu @notarioalcala @ahurtadobueno @josecarmelollb @lacalledeladios a mí como a veces me piden la firma escaneada en el doc... ,non-biased
de que sirve que me los trage si tengo panza de embarazada. #horasad,biased
de las pocas veces que hablamos por skype me pareciste una grandísima persona ,non-biased
"@pobrezacero @nuevatribuna @ruthtoledano @felipealcarazm @carlosbardem @carnecrudaradio @agarzon @cayo_lara vamos mal, no... peor ",non-biased
@wgwillyg el mejor bae que he tenido ,non-biased
"que no se pierda la bonita costumbre de empezar el año, la semana, el mes valiendo verga en el amor y en todo",non-biased
"a piper no le gusta que robe en las casas ni a la gente, piper se ha ido a la basura junto a albóndiga ",non-biased
@srtamusic @mllegardevoir no tengo la lejía seria un buen sustituto?,non-biased
@mayteaguirre ¡cero! lo que te haga feliz o te de tranquilidad está súper bien.,non-biased
@darkportu ya ya pero aún así no me convenció ,non-biased
me traje un kitkat porque ya sé que a mi mamá le da por cortar carbohidratos de putazo pero tengo aquí 23 horas y ya me lo quiero chingar,non-biased
"@bayou7478 estoy igual. quiero un maratón en marzo/abril y otro en octubre/noviembre. si te enteras de nos buenos, por favor avisa.",non-biased
"@yarisflores punto a favor jijiji, la cosa es que hoy si hice de todo menos quedarme en camita",non-biased
"@ladelbosque29 acude al próximo llamado que hagamos aqui, muy sencillo. con guantes, zapato cerrado cómodo y si tienes una pick-up mejor!",non-biased
serías tan dispersa en no darte cuenta q tenías ganas de hacer pipí.. qué bonito tu mundo no regreses a éste de no ser necesario; calita,biased
"@jmiguel @carrero claro, yo quería por eso de manifiesto, hay cables chinos cojonudos. otra cosa es que te compres el mas barato ",non-biased
@mafolu2 no creas. pero me gusta tener a la gente engañada  @granctimes,non-biased
es conveniente tener un gobierno democrático que cumpla su función politica. no lo es tener un gobierno que representa la #corrupciónpp,non-biased
"@pilar_diz buenooo, claro que si y a @chefidiaz se le está pegando...pero es estupendo. scoop. no dejéis de verla. ",non-biased
@marlentrevino aaaa jaja tons si a de estar buena. la de 24hrs. está pasada de lanza. saludos marlen y feliz año,non-biased
@elenaarnaiz @pruebatmagazine muchas gracias!! feliz día ,non-biased
@iwanancho quiero un linoone con tambor y velocidad extrema pero es de esos especiales de generaciones pasadas que ya no se puede ,non-biased
"@paddockgpworld @miquelliso ¡permiso ninguno, por favor! la foto es de miquel, y yo encantado de poder verla en mi timeline ",non-biased
"—un café por favor. —el café, ¿lo va a querer solo? —no, sí quieres siéntate aquí a mi lado y me cuentas toda tu puta vida. — ay",biased
la sonrisa es el único virus que no hace daño al alma. siempre sonríe;;calavera de la suerte>>,non-biased
@pabloalboran eyyy regresa yaa!!! tu @famalboranmex te espera,non-biased
@quesadacid muchas gracias rodrigo por compartir con nosotros su paso por la feria del libro de benidorm. esperamos que le haya encantado ,non-biased
de la nada me empezó a seguir @chilaquiloteca y me enteré que existe ese servicio... porque a veces también me pasan cosas buenas,non-biased
@micaelarusso_ me ha pasado algo similar te entiendo cariño ,non-biased
@miamanta buenos días sam ya aquí estamos después de estar un poco enfermo pero ya vamos mejorando saludos y feliz año y bendiciones,non-biased
"hola qué tal, yo esta noche me tengo que curar sola los puntos y soy muy inútil para quitarme incluso el apósito  todo bien.",non-biased
